buffet,Fuku Japan,"siam,siam",499++
buffet,Kin Japanese Buffet&Ramen,"siam,siam",535++
A la carte,Gyu-Kaku,"siam,siam",start form 20
dessert,Brown caf?,"siam,siam",start form 60
dessert,Gram Pancakes Thailand,"siam,siam",start form 75
